Category,License,Dependency,Notes
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalactic # scalactic_2.12 # 3.1.2,
BSD,BSD (LICENSE.txt),com.thoughtworks.paranamer # paranamer # 2.8,
BSD,BSD (http://asm.objectweb.org/license.html),org.ow2.asm # asm # 5.0.3,
BSD,BSD (http://asm.objectweb.org/license.html),org.ow2.asm # asm-analysis # 5.0.3,
BSD,BSD (http://asm.objectweb.org/license.html),org.ow2.asm # asm-commons # 5.0.3,
BSD,BSD (http://asm.objectweb.org/license.html),org.ow2.asm # asm-tree # 5.0.3,
BSD,BSD (http://asm.objectweb.org/license.html),org.ow2.asm # asm-util # 5.0.3,
BSD,BSD (https://github.com/sbt/test-interface/blob/master/LICENSE),org.scala-sbt # test-interface # 1.0,
BSD,New BSD License (http://www.opensource.org/licenses/bsd-license.php),org.hamcrest # hamcrest-core # 1.3,
BSD,The New BSD License (http://www.opensource.org/licenses/bsd-license.html),org.reflections # reflections # 0.9.11,
BSD,Two-clause BSD-style license (http://github.com/sbt/junit-interface/blob/master/LICENSE.txt),com.novocode # junit-interface # 0.11,
CC0,CC0 (http://creativecommons.org/publicdomain/zero/1.0/),org.reactivestreams # reactive-streams # 1.0.3,
GPL,AGPL-V3 (https://www.gnu.org/licenses/agpl-3.0.html),org.thehive-project # elastic4play_2.12 # 1.12.3,
GPL,AGPL-V3 (https://www.gnu.org/licenses/agpl-3.0.html),org.thehive-project # thehivebackend_2.12 # 3.5.0-1,
GPL,AGPL-V3 (https://www.gnu.org/licenses/agpl-3.0.html),org.thehive-project # thehivecortex_2.12 # 3.5.0-1,
GPL,AGPL-V3 (https://www.gnu.org/licenses/agpl-3.0.html),org.thehive-project # thehivemisp_2.12 # 3.5.0-1,
GPL,GPL2 w/ CPE (https://www.gnu.org/software/classpath/license.html),jakarta.transaction # jakarta.transaction-api # 1.3.3,
LGPL,GNU Lesser General Public License (http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html),ch.qos.logback # logback-classic # 1.2.3,
LGPL,GNU Lesser General Public License (http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html),ch.qos.logback # logback-core # 1.2.3,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),com.github.jnr # jnr-x86asm # 1.0.2,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.brotli # dec # 0.1.2,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # jul-to-slf4j # 1.7.30,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # slf4j-api # 1.7.30,
MIT,The MIT License (http://opensource.org/licenses/MIT),org.checkerframework # checker-qual # 2.10.0,
Mozilla,MPL 1.1 (http://www.mozilla.org/MPL/MPL-1.1.html),org.javassist # javassist # 3.21.0-GA,
Mozilla,"Mozilla Public License, Version 2.0 (http://www.mozilla.org/MPL/2.0/index.txt)",net.sourceforge.htmlunit # htmlunit-core-js # 2.36.0,
Public Domain,Public Domain,aopalliance # aopalliance # 1.0,
unrecognized,Bouncy Castle Licence (http://www.bouncycastle.org/licence.html),org.bouncycastle # bcprov-jdk15on # 1.58,
unrecognized,EDL 1.0 (http://www.eclipse.org/org/documents/edl-v10.php),jakarta.activation # jakarta.activation-api # 1.2.2,
unrecognized,Eclipse Distribution License - v 1.0 (http://www.eclipse.org/org/documents/edl-v10.php),jakarta.xml.bind # jakarta.xml.bind-api # 2.3.3,
unrecognized,Eclipse Public License 1.0 (http://www.eclipse.org/legal/epl-v10.html),junit # junit # 4.13,
